company_file;inn_file;industry_file;inn_smi_publications;inn_company_main_cards;open_orgs_checker;ОГРН;ИНН;КПП;ОКПО;Полное наименование;Прежние наименования;Другие наименования;На английском;Адрес;Телефон;Web;ОКОПФ;Отрасль;Руководитель;E-mail;Соцсети;Управляющая компания;Бенефициар
«Рэйлальянс»;7705492690;инжиниринг, промышленно-инфраструктурное строительство;7705492690;7705492690;1.0;1037705023113;7705492690;770401001;14186818;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЭЙЛАЛЬЯНС""";РЭЙЛТРАНСКОМПЛЕКТСЕРВИС, ООО ;"ООО ""РЭЙЛАЛЬЯНС""";"LLC ""RAILTRANSCOMPLECTSERVICE""";119034, г. Москва, вн.тер.г. муниципальный округ Хамовники, пер Пожарский, д. 15 · Бизнес-центр «Депо»На карте ;+7 (499) 1105126 ;railall.ru   · 1 домен;Общества с ограниченной ответственностью;Торговля оптовая неспециализированная;Лагуткина Елена Борисовна · генеральный директор;;;;
«Крокус Интернэшнл»;7728115183;коммерческая недвижимость;7728115183;7728115183;1.0;1027700257023;7728115183;502401001;05847623;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРОКУС ИНТЕРНЭШНЛ""";КРОКУС ИНТЕРНЭШНЛ СRОСUS INTERNATIONAL, АО ;"АО ""КРОКУС""";Crocus International, JSC;143401, Московская обл., г. Красногорск, ул. Международная, д. 18На карте ;+7 (495) 9488080 ;tvoydom.ru   · 127 доменов;Непубличные акционерные общества;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;Агаларов Арас Искендер Оглы · генеральный директор (президент);info@tvoydom.ru  ;;;
«Пермэнергосбыт», группа компаний;5904123809;энергосбытовая деятельность;5904123809;5904123809;1.0;1055902200353;5904123809;590401001;77013160;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""";ПЕРМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ (ОАО ПЕРМЭНЕРГОСБЫТ, ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ;"ПАО ""ПЕРМЭНЕРГОСБЫТ""";Perm join-stock company Perm Energy Supplying Company;614007, Пермский кр., г. Пермь, ул. Тимирязева, д. 37На карте ;+7 (3422) 126659 ;permenergosbyt.ru   · 1 домен;Публичные акционерные общества;Торговля электроэнергией;Шершаков Игорь Валерьевич · генеральный директор;1.porseva@energos.perm.ru  ;;;
«Новый Ай Ти Проект»;7724338125;оптовая торговля;7724338125;7724338125;1.0;1157746958830;7724338125;772401001;51207582;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВЫЙ АЙ ТИ ПРОЕКТ""";;"ООО ""НОВЫЙ АЙ ТИ ПРОЕКТ""";New IT Project, LLC;"115487, г. Москва, ул. Нагатинская, д. 16 стр. 9 пом. VII ком. 15 офис 5 · Бизнес-центр ""Imagine Plaza"" (Имеджин Плаза)На карте ";+7 (800) 5517557 ;www.3l.ru   · 17 доменов;Общества с ограниченной ответственностью;Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением;Ткачев Станислав Игоревич · генеральный директор;e.karabanova28@gmai.ru  ;;;Башлыков Александр Александрович
«Гайский горно-обогатительный комбинат»;5604000700;цветная металлургия;5604000700;5604000700;1.0;1025600682030;5604000700;560401001;00194398;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЙСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";ГАЙСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ, АО ;"ПАО ""ГАЙСКИЙ ГОК""";"OPEN JOINT-STOCK COMPANY ""GAI MINING AND PROCESSING CO JSC""";462633, Оренбургская обл., г. Гай, ул. Промышленная, д. 1На карте ;+7 (35362) 64267 ;www.ggok.ru   · 2 домена;Публичные акционерные общества;Добыча и обогащение медной руды;Ставский Геннадий Геннадьевич · генеральный директор;es5@ggok.ru  ;;;
«Разрез «Березовский»;4223035452;угольная промышленность;4223035452;4223035452;1.0;1044223000799;4223035452;422301001;72271319;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАЗРЕЗ ""БЕРЕЗОВСКИЙ""";;"ООО ""РАЗРЕЗ ""БЕРЕЗОВСКИЙ""";"OOO ""RAZREZ ""BEREZOVSKI""";653212, Кемеровская область - Кузбасс, м.о. Прокопьевский, п Калачево, ул Мира, д. 9, стр. 16На карте ;+7 (384) 6675647 ;разрезберезовский.рф   · 1 домен;Общества с ограниченной ответственностью;Добыча коксующегося угля открытым способом;Исаков Андрей Валериевич · генеральный директор;priberezovsky@stroyservis.com  ;;;
«Альфа Рязань» (сеть «Красное & Белое»);6234131659;розничная торговля;6234131659;6234131659;1.0;1146234006380;6234131659;623401001;26698305;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФА РЯЗАНЬ""";;"ООО ""АЛЬФА РЯЗАНЬ""";"OOO ""ALFA RYAZAN""";390000, Рязанская обл., г. Рязань, ул. Введенская, д. 80 литера А пом. Н27На карте ;+7 (953) 7303071 ;krasnoeibeloe.ru/  ;Общества с ограниченной ответственностью;Торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах;Осокин Александр Сергеевич · директор;1182@krasnoe-beloe.ru  ;;;
«Разрез Кийзасский»;4214033674;угольная промышленность;4214033674;4214033674;1.0;1114214001857;4214033674;421401001;37692783;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАЗРЕЗ КИЙЗАССКИЙ""";;"ООО ""РАЗРЕЗ КИЙЗАССКИЙ""";RAZREZ KIYZASSKY, LIMITED LIABILITY COMPANY;652840, Кемеровская область - Кузбасс, г. Мыски, ул. Советская, д. ЗД. 50На карте ;+7 (384) 7423853 ;;Общества с ограниченной ответственностью;Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом;;ilosyk@mail.ru  ;;УК СИБАНТРАЦИТ МЫСКИ, ООО;
«Зарубежнефть» (АО);7701350084;нефтяная и нефтегазовая промышленность;7701350084;7701350084;1.0;1047708046870;7701350084;770101001;00148458;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАРУБЕЖНЕФТЬ""";ЗАРУБЕЖНЕФТЬ, ОАО ;"АО ""ЗАРУБЕЖНЕФТЬ""";Zarubezhneft JSC;101000, г. Москва, вн.тер.г. муниципальный округ Басманный, пер Армянский, д. 9, стр. 1, помещ. 35/110/1 · Офисное зданиеНа карте ;+7 (495) 6245301 ;zarubezhneft.ru/ru/   · 24 домена;Публичные акционерные общества;Добыча нефти;Кудряшов Сергей Иванович · генеральный директор;asorokin@nestro.ru  ;youtube.com/channel/ucgxhubmcm45gg43mrri6f9w  ;;
«Анттек»;7701380579;строительство;7701380579;7701380579;1.0;5137746177883;7701380579;773001001;26255602;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТТЕК""";;"ООО ""АНТТЕК""";"OOO ""ANTTEK""";121087, г. Москва, проезд Береговой, д. 5А к. 1 этаж / пом. 5/IНа карте ;+7 (495) 5892015 ;www.antteq.com  ;Общества с ограниченной ответственностью;Строительство жилых и нежилых зданий;Куру Рамазан · генеральный директор;;;;
«Проктер Энд Гэмбл-Новомосковск»;7101006354;химическая и нефтехимическая промышленность;7101006354;7101006354;1.0;1037100100938;7101006354;711601001;00204300;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОКТЕР ЭНД ГЭМБЛ-НОВОМОСКОВСК""";;"ООО ""ПРОКТЕР ЭНД ГЭМБЛ-НОВОМОСКОВСК""";"LIMITED LIABILITY COMPANY ""PROCTER AND GAMBLE-NOVOMOSKOVSK""";301653, Тульская обл., Новомосковский район, г. Новомосковск, шоссе Комсомольское, д. 64На карте ;+7 (48762) 31888 ;www.pg.com  ;Общества с ограниченной ответственностью;Производство мыла и моющих средств, чистящих и полирующих средств;Елагина Анна Вячеславовна · генеральный директор;chlishova.ov@pg.com  ;vk.com/pg_russia  ;;
«АМКапитал»;7708607959;розничная торговля;7708607959;7708607959;1.0;5067746028312;7708607959;771801001;96570707;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМКАПИТАЛ""";;"ООО ""АМКАПИТАЛ""";"OOO ""AMKAPITAL""";107497, г. Москва, ул. Иркутская, д. 5/6 стр. 1 этаж / пом. 2/218На карте ;+7 (495) 7375555 ;avtomir.ru   · 236 доменов;Общества с ограниченной ответственностью;Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах;Петров Владимир Николаевич · генеральный директор;atz@spb.avtomir.ru  ;;;
«Кортрос»;7703400608;строительство;7703400608;7703400608;1.0;1157746987903;7703400608;770301001;51201836;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЛЕКСНОЕ РАЗВИТИЕ ТЕРРИТОРИЙ, РЕНОВАЦИИ, ОСВОЕНИЕ""";;"ООО ""КОРТРОС""";"OOO ""KORTROS""";123290, г. Москва, проезд Шмитовский, д. 39 к. 2 этаж / пом. / каб. 1/XVIII/2-14На карте ;+7 (495) 7558081 ;;Общества с ограниченной ответственностью;Деятельность по управлению холдинг-компаниями;Киселев Станислав Владиславович · генеральный директор;;;;
«Бетринг»;7202197786;сфера развлечений;7202197786;7202197786;1.0;1097232016848;7202197786;616401001;61995675;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕТРИНГ""";;"ООО ""БЕТРИНГ""";"OOO ""BETRING""";344011, Ростовская обл, г.о. город Ростов-на-Дону, г Ростов-на-Дону, пер Доломановский, зд. 70Д, этаж 4, помещ. 18А, 20, 23 · Бизнес-центр «Гвардейский»На карте ;+7 (499) 1360032 ;1 домен;Общества с ограниченной ответственностью;Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки;Коломейцев Александр Викторович · генеральный директор;;;;Грицинина Надежда Ивановна
«РНГ»;7703508520;нефтяная и нефтегазовая промышленность;7703508520;7703508520;1.0;1037789063476;7703508520;770201001;71673493;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РНГ""";РОСТНЕФТЕГАЗ, АО;"АО ""РНГ""";"AO ""RNG""";129090, г. Москва, пер. Троицкий 1-Й, д. 12 к. 5На карте ;+7 (495) 7925073 ;rostneftegaz.ru   · 5 доменов;Непубличные акционерные общества;Добыча нефти;Ракитин Владимир Сергеевич · генеральный директор;office@rngoil.ru  ;youtube.com/channel/uciounioxt-vu7uzmxuw_bbq  ;;
«Петербургский метрополитен», ГУП;7830000970;транспорт и логистика;7830000970;7830000970;1.0;1027810223407;7830000970;783801001;03222055;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПЕТЕРБУРГСКИЙ МЕТРОПОЛИТЕН""";;"ГУП ""ПЕТЕРБУРГСКИЙ МЕТРОПОЛИТЕН""";"GUP ""PETERBURGSKI METROPOLITEN""";190013, г. Санкт-Петербург, проспект Московский, д. 28На карте ;+7 (812) 2415245 ;www.metro.spb.ru/   · 1 домен;Государственные унитарные предприятия субъектов Российской Федерации;Перевозка пассажиров метрополитеном;Козин Евгений Германович · начальник метрополитена;arsenteva.y@metro.spb.ru  ;twitter.com/julieshavel  ;;
«Приосколье»;3123100360;агропромышленный комплекс;3123100360;3123100360;1.0;1033107033882;3123100360;311401001;71462939;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИОСКОЛЬЕ""";;"АО ""ПРИОСКОЛЬЕ""";"AO ""PRIOSKOLE""";309615, Белгородская обл., Новооскольский район, тер. Станция ХолкиНа карте ;+7 (47233) 30503 ;www.prioskol.ru   · 1 домен;Непубличные акционерные общества;Разведение сельскохозяйственной птицы;Колабухов Иван Вячеславович · генеральный директор;office@prioskol.ru  ;vk.com/prioskol  ;;
«Алиди», предприятие;5245000448;оптовая торговля;5245000448;5245000448;1.0;1025201452572;5245000448;525001001;10673562;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРЕДПРИЯТИЕ ""АЛИДИ""";;"ООО ПРЕДПРИЯТИЕ ""АЛИДИ""";"OOO PREDPRIYATIE ""ALIDI""";607684, Нижегородская обл., Кстовский район, пос. Ждановский, ул. Придорожная, д. 12На карте ;+7 (962) 5150303 ;www.alidi.ru   · 16 доменов;Общества с ограниченной ответственностью;Торговля оптовая непродовольственными потребительскими товарами;Сурков Олег Александрович · генеральный директор;logservis@alidi.ru  ;vk.com/alidi_career  ;;
«Фармимэкс»;7710106212;оптовая торговля;7710106212;7710106212;1.0;1027739389732;7710106212;771001001;05828436;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФАРМАЦЕВТИЧЕСКИЙ ИМПОРТ, ЭКСПОРТ""";ФАРМИМЭКС, ПАО ;"АО ""ФАРМИМЭКС""";Pharmimex;125009, г. Москва, ул. Дмитровка Б., д. 7/5 стр. 5На карте ;+7 (385) 2365489 ;www.pharmimex.com   · 5 доменов;Непубличные акционерные общества;Торговля оптовая фармацевтической продукцией;Апазов Александр Дмитриевич · президент;79628535544@yandex.ru  ;;;
«Порше Руссланд»;7703374404;оптовая торговля;7703374404;7703374404;1.0;1037703036931;7703374404;774301001;70049485;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОРШЕ РУССЛАНД""";;"ООО ""ПОРШЕ РУССЛАНД""";OOO PORSCHE RUSSLAND;125445, г. Москва, шоссе Ленинградское, д. 71А к. 10На карте ;+7 (495) 3631911 ;www.porsche.com   · 2 домена;Общества с ограниченной ответственностью;Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами;Фабричнов Михаил Андреевич · генеральный директор;;;;
«Эбботт Лэбораториз»;7725594604;оптовая торговля;7725594604;7725594604;1.0;1077746154859;7725594604;774301001;99030704;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭББОТТ ЛЭБОРАТОРИЗ""";;"ООО ""ЭББОТТ ЛЭБОРАТОРИЗ""";Abbott Laboratories LLC;"125171, г. Москва, шоссе Ленинградское, д. 16А стр. 1 · Бизнес-центр ""Метрополис""На карте ";+7 (495) 2524280 ;www.ru.abbott   · 70 доменов;Общества с ограниченной ответственностью;Торговля оптовая фармацевтической продукцией;Бакуменко Инна Михайловна · генеральный директор;abdukarimova@abbott.com  ;;;
«Нефтьмагистраль», торговый дом;7722582752;розничная торговля;7722582752;7722582752;1.0;1067746809998;7722582752;772401001;96483724;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВЫЙ ДОМ НЕФТЬМАГИСТРАЛЬ;;ООО ТД НМ;OOO TD NM;"117105, г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, ш Варшавское, д. 35, стр. 1, этаж/часть офиса 6/П606 · Бизнес-центр ""River Plaza""На карте ";+7 (49654) 44645 ;www.neftm.ru   · 11 доменов;Общества с ограниченной ответственностью;Торговля розничная моторным топливом в специализированных магазинах;Ерастов Александр Геннадьевич · генеральный директор;1501@neftm.ru  ;;;
«Брянскагрострой»;3250521869;инжиниринг, промышленно-инфраструктурное строительство;3250521869;3250521869;1.0;1113256001825;3250521869;325701001;68458880;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРЯНСКАГРОСТРОЙ""";;"ООО ""БРЯНСКАГРОСТРОЙ""";"""BRYANSKAGROSTROY"" LLC";241050, Брянская обл., г. Брянск, ул. Красноармейская, д. 138 этаж 3, помещения 3,4На карте ;+7 (980) 3114942 ;brastr.ru   · 2 домена;Общества с ограниченной ответственностью;Подготовка строительной площадки;Передельский Сергей Владимирович · генеральный директор;;;;
«Ягуар Ленд Ровер»;5047095543;оптовая торговля;5047095543;5047095543;1.0;1085047006549;5047095543;774301001;86658358;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯГУАР ЛЕНД РОВЕР""";;"ООО ""ЯГУАР ЛЕНД РОВЕР""";"LIMITED LIABILITY COMPANY ""JAGUAR LAND ROVER""";141411, г. Москва, шоссе Международное, д. 28Б стр. 2 · Бизнес-парк «SkyPoint Бета»На карте ;+7 (495) 5874909 ;www.landroverusa.com   · 7 доменов;Общества с ограниченной ответственностью;Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами;Кузяков Вячеслав Владимирович · генеральный директор;;;;
Национальная медиа группа;7704676655;СМИ;7704676655;7704676655;1.0;1087746152207;7704676655;770401001;84773397;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЦИОНАЛЬНАЯ МЕДИА ГРУППА""";НАЦИОНАЛЬНАЯ МЕДИА ГРУППА, АО ;"АО ""НМГ""";"AO ""NMG""";119034, г. Москва, набережная Пречистенская, д. 13 стр. 1На карте ;+7 (495) 9881112 ;www.nm-g.ru   · 14 доменов;Непубличные акционерные общества;Деятельность по управлению финансово-промышленными группами;Баланова Светлана Евгеньевна · генеральный директор;;;;
«Отисифарм»;5047149534;фармацевтическая промышленность;5047149534;5047149534;1.0;1135047014145;5047149534;770301001;53990770;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОТИСИФАРМ""";ОТИСИФАРМ, ПАО ;"АО ""ОТИСИФАРМ""";PJSC OTCPHARM;123112, г. Москва, ул. Тестовская, д. 10 этаж 12 пом. II ком. 29 · Бизнес-квартал «Симоновский»На карте ;+7 (3472) 723315 ·  Открытые данные ;www.otcpharm.ru   · 120 доменов;Непубличные акционерные общества;Торговля оптовая фармацевтической продукцией;Медникова Ольга Борисовна · генеральный директор;info@otcpharm.ru  ;;;
«Ферреро Руссия»;5044018861;оптовая торговля;5044018861;5044018861;1.0;1025005688113;5044018861;332301001;42295149;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕРРЕРО РУССИЯ""";ДУКАЛБА, ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО;"ЗАО ""ФЕРРЕРО РУССИЯ""";"""FERRERO RUSSIA"", A CJSC";601211, Владимирская обл., Собинский район, с. Ворша, тер. Кондитерская Фабрика ФеррероНа карте ;+7 (495) 9612410 ;www.ferrero.ru   · 67 доменов;Непубличные акционерные общества;Производство шоколада и сахаристых кондитерских изделий;Измайлов Сергей Борисович, Немченко Игорь Васильевич;natalia.koreshkina@ferrero.com  ;;;
«Звездочка», центр судоремонта;2902060361;машиностроение;2902060361;2902060361;1.0;1082902002677;2902060361;290201001;07515753;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";ЦЕНТР СУДОРЕМОНТА ЗВЕЗДОЧКА, ОАО ;"АО ""ЦС ""ЗВЕЗДОЧКА""";"JSC ""SC ""Zvyozdochka""";164509, Архангельская обл., г. Северодвинск, проезд Машиностроителей, д. 12На карте ;+7 (495) 6053346 ;www.star.ru   · 9 доменов;Непубличные акционерные общества;Строительство кораблей, судов и плавучих конструкций;Маричев Сергей Юрьевич · генеральный директор;abot@star.ru  ;;;
«Роберт Бош»;7706092944;оптовая торговля;7706092944;7706092944;1.0;1027739121167;7706092944;504701001;17023130;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОБЕРТ БОШ""";;"ООО ""РОБЕРТ БОШ""";OOO ROBERT BOSCH;141402, Московская обл., г. Химки, шоссе Вашутинское, владение 24 · Бизнес-центр «Штаб-Квартира Роберт Бош»На карте ;+7 (495) 6265825 ;www.junkers.ru   · 12 доменов;Общества с ограниченной ответственностью;Торговля оптовая автомобильными деталями, узлами и принадлежностями;Кривошеев Андрей Моисеевич · генеральный директор;info@bosch.ru  ;;;
«Петролеум Трейдинг»;7736655834;оптовая торговля;7736655834;7736655834;1.0;1137746138441;7736655834;770401001;13231830;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОЛЕУМ ТРЕЙДИНГ""";;"ООО ""ПЕТРОЛЕУМ ТРЕЙДИНГ""";PETROLEUM TRADING LTD;119435, г. Москва, ул. Малая Пироговская, д. 8 пом. LXVI этаж 2 ком. 8,9На карте ;+7 (495) 2151676 ;ptomsk.ru   · 3 домена;Общества с ограниченной ответственностью;Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами;Вендров Денис Валентинович · генеральный директор;help@proleum.pro  ;;;
«Тихвинский вагоностроительный завод»;4715019631;машиностроение;4715019631;4715019631;1.0;1074715001580;4715019631;471501001;80675373;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТИХВИНСКИЙ ВАГОНОСТРОИТЕЛЬНЫЙ ЗАВОД""";ТИХВИНСКИЙ ВАГОНОСТРОИТЕЛЬНЫЙ ЗАВОД, АО;"АО ""ТВСЗ""";Tikhvin Freight Car Building Plant JSC;187556, Ленинградская обл., Тихвинский район, г. Тихвин, площадка Промплощадка, д. 6 к. 1 офис 207На карте ;+7 (800) 5550375 ;tvsz.ru   · 7 доменов;Непубличные акционерные общества;Производство железнодорожных локомотивов и подвижного состава;Кузьменко Евгений Владимирович · генеральный директор;obutorlina@tvsz.ru  ;vk.com/club15931726  ;;
«Мособлгаз»;5032292612;оптовая торговля;5032292612;5032292612;1.0;1175024034734;5032292612;503201001;23022352;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛГАЗ""";МОСОБЛГАЗ, ГУП ;"АО ""МОСОБЛГАЗ""";"JSC ""MOSOBLGAZ""";143082, Московская обл., г. Одинцово, д. Раздоры, км. 1-Й (Рублево-Успенское Шоссе Тер.), д. 1 корп. / этаж Б/9 каб. 901На карте ;+7 (495) 1224004 ;3 домена;Непубличные акционерные общества;Распределение газообразного топлива по газораспределительным сетям;Баранов Игорь Анатольевич · генеральный директор;123@mosoblgaz.ru  ;vk.com/public50896777  ;;
«ПСМА Рус»;4027091179;машиностроение;4027091179;4027091179;1.0;1094027000011;4027091179;402801001;89695271;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПСМА РУС""";;"ООО ""ПСМА РУС""";"LIMITED LIABILITY COMPANY ""PCMA RUS""";248903, Калужская обл., г. Калуга, с. РосваНа карте ;+7 (484) 2223101 ;;Общества с ограниченной ответственностью;Производство автотранспортных средств;Тимарев Сергей Александрович · генеральный директор;roman.parfenov@pcmarus.com  ;;;
«Агропромышленная Корпорация АСТ Компани М»;7721147115;оптовая торговля;7721147115;7721147115;1.0;1037739496376;7721147115;771301001;46515399;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОПРОМЫШЛЕННАЯ КОРПОРАЦИЯ АСТ КОМПАНИ М""";;"ООО ""АПК АСТ КОМПАНИ М""";«AIC AST COMPANY M» LLC;127434, г. Москва, ул. Дубки, д. 6 этаж / офис 1/1-26На карте ;+7 (909) 5000600 ;astkom.ru   · 7 доменов;Общества с ограниченной ответственностью;Торговля оптовая зерном;Лиховцев Александр Иванович, Магомедхажиев Руслан Сайдумович;info@astkom.ru  ;;;Магомедхажиев Руслан Сайдумович
«Транслом»;4345217731;оптовая торговля;4345217731;4345217731;1.0;1074345063198;4345217731;770101001;84536935;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСЛОМ""";ВТОРМЕТРЕСУРС, ООО;"ООО ""ТРАНСЛОМ""";"OOO ""TRANSLOM""";105005, г. Москва, пер. Большой Демидовский, д. 12 этаж / ком. 4/2На карте ;+7 (495) 6631258 ;translom.ru   · 11 доменов;Общества с ограниченной ответственностью;Торговля оптовая отходами и ломом;Астахов Сергей Владимирович · генеральный директор;m.chornaya@translom.ru  ;;;Золотарев Алексей Юрьевич
«Русвинил»;5262218620;химическая и нефтехимическая промышленность;5262218620;5262218620;1.0;1075262019766;5262218620;525001001;83385954;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСВИНИЛ""";;"ООО ""РУСВИНИЛ""";"LIMITED LIABILITY COMPANY ""RUSVINYL""";607650, Нижегородская обл, м.о. Кстовский, г Кстово, р-н Промышленный, пр-д 7-й, д. 1На карте ;+7 (831) 2783610 ;www.sibur.ru/rusvinyl/   · 4 домена;Общества с ограниченной ответственностью;Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах;Назаров Сергей Александрович · генеральный директор;rusvinyl@rusvinyl.ru  ;vk.com/clubrusvinyl  ;;
«Новосибирскэнергосбыт»;5407025576;энергосбытовая деятельность;5407025576;5407025576;1.0;1065407151127;5407025576;540601001;98386244;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОСИБИРСКЭНЕРГОСБЫТ""";НОВОСИБИРСКЭНЕРГОСБЫТ, ОАО ;"АО ""НОВОСИБИРСКЭНЕРГОСБЫТ""";JSC NOVOSIBIRSKENERGOSBYT;630099, Новосибирская обл., г. Новосибирск, ул. Орджоникидзе, д. 32На карте ;+7 (382) 2739898 ;www.sibirenergo.ru   · 10 доменов;Непубличные акционерные общества;Торговля электроэнергией;Дашьян Карэн Николаевич · генеральный директор;2299770@mail.ru  ;;;
«Останкинский мясоперерабатывающий комбинат»;7715034360;пищевая промышленность;7715034360;7715034360;1.0;1027739261263;7715034360;771501001;00425283;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОСТАНКИНСКИЙ МЯСОПЕРЕРАБАТЫВАЮЩИЙ КОМБИНАТ""";ОМПК, ОАО;"АО ""ОМПК""";"AO ""OMPK""";127254, г. Москва, проезд Огородный, д. 18На карте ;+7 (495) 9805386 ;ompk.ru/about/structure/ooo-gagarin-ostankino-32   · 2 домена;Непубличные акционерные общества;Производство продукции из мяса убойных животных и мяса птицы;Медведев Роман Игоревич · генеральный директор;info@sosiska.ru  ;;;
«ЭЛ5-Энерго»;6671156423;электроэнергетика;6671156423;6671156423;1.0;1046604013257;6671156423;667101001;75012898;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭЛ5-ЭНЕРГО""";ЭНЕЛ РОССИЯ, ПАО ;"ПАО ""ЭЛ5-ЭНЕРГО""";"PJSC ""EL5-ENERGO""";620014, Свердловская обл., г. Екатеринбург, ул. Хохрякова, д. 10 · Бизнес-центр «Палладиум»На карте ;+7 (343) 3764590 ;www.ogk-5.com   · 13 доменов;Публичные акционерные общества;Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций;Тналин Алибек Айбекович · генеральный директор; enelrussiapressoffice@enel.com  ;;;
