company_file,inn_file,industry_file,inn_smi_publications,inn_company_main_cards,open_orgs_checker,ОГРН,ИНН,КПП,ОКПО,Полное наименование,Прежние наименования,Другие наименования,На английском,Адрес,Телефон,Web,ОКОПФ,Отрасль,Руководитель,E-mail,Соцсети,Управляющая компания,Бенефициар,flag,Полное название организации,Английское название,Адрес,Уставный капитал,ОКФС,ОКОПФ,ОКОГУ,ИНН,ОГРН,КПП,ОКАТО,ОКПО,ОКТМО,main_okved_id,main_okved_name,second_okveds
ТГК-2,7606053324,электроэнергетика,7606053324,7606053324,1.0,1057601091151,7606053324,760601001,76535270,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ No2""","ТГК-2, ОАО ","ПАО ""ТГК-2""","JSC ""TGC-2""","150003, Ярославская обл., г. Ярославль, ул. Пятницкая, д. 6На карте ",+7 (485) 2208511 ,www.tgc-2.ru   · 7 доменов,Публичные акционерные общества,Производство пара и горячей воды (тепловой энергии),Симановский Александр Александрович · генеральный директор,240887oa@bk.ru  ,vk.com/arhtgc  ,,,1.0,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ №2""","JSC ""TGC-2""","Ярославская обл., г. Ярославль, ул. Пятницкая, д. 6",14 749 053 844,Смешанная российская собственность с долями федеральной собственности и собственности субъектов Российской Федерации,Публичные акционерные общества,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7606053324,1057601091151,760601001,"Ярославская область, Ярославль, Ленинский",76535270,"Ярославская область, Городские округа Ярославской области, г Ярославль",35.30.1,Производство пара и горячей воды (тепловой энергии),"{'Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций': '35.11.1'}"
«Атак» (сеть супермаркетов),7743543232,розничная торговля,7743543232,7743543232,1.0,1047796854533,7743543232,774301001,74530469,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТАК""",,"ООО ""АТАК""",SOCIETE A RESPONSABILITE LIMITEE ATAK,"125635, г. Москва, ул. Ангарская, д. 13На карте ",+7 (495) 6609875 ,,Общества с ограниченной ответственностью,Торговля розничная прочая в неспециализированных магазинах,,,,"АШАН, ООО",,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТАК""",SOCIETE A RESPONSABILITE LIMITEE ATAK,"г. Москва, ул. Ангарская, д. 13",8 348 000 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7743543232,1047796854533,774301001,"Город Москва столица Российской Федерации город федерального значения, Северный, Западное Дегунино",74530469,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Западное Дегунино",47.19,Торговля розничная прочая в неспециализированных магазинах,"{'Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения': '10.71'}"
«БСХ бытовые приборы»,7819301797,машиностроение,7819301797,7819301797,1.0,1057810139452,7819301797,781901001,76193734,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БСХ БЫТОВЫЕ ПРИБОРЫ""",,"ООО ""БСХ БЫТОВЫЕ ПРИБОРЫ""",BSH Home Appliances LLC,"198515, г. Санкт-Петербург, г. Петергоф, ул. Карла Сименса, д. 1 литера АНа карте ",+7 (812) 6055572 ,www.bsh-group.com   · 2 домена,Общества с ограниченной ответственностью,Производство бытовых электрических приборов,"Вис Херманн Клеменс , Кашин Илья Борисович",bosch-infoteam@bshg.com  ,vk.com/boschhomerussia  ,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БСХ БЫТОВЫЕ ПРИБОРЫ""",BSH Home Appliances LLC,"г. Санкт-Петербург, г. Петергоф, ул. Карла Сименса, д. 1 литера А",3 233 332 128,Собственность иностранных юридических лиц,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7819301797,1057810139452,781901001,"Город Санкт-Петербург город федерального значения, Петродворцовый",76193734,"Санкт-Петербург, Внутригородские муниципальные образования города федерального значения Санкт-Петербурга (см. также 40 900 000), г Петергоф",27.51,Производство бытовых электрических приборов,{'Производство бытовых неэлектрических приборов': '27.52'}
«Остин» (сеть магазинов),7728551510,розничная торговля,7728551510,7728551510,1.0,1057747320003,7728551510,772801001,77522753,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСТИН""",,"ООО ""ОСТИН""","""OSTIN"" LTD.","117420, г. Москва, ул. Профсоюзная, д. 61А · Торгово-развлекательный центр «Калужский»На карте ",+7 (495) 7558190 ,www.o-stin.ru   · 25 доменов,Общества с ограниченной ответственностью,"Торговля розничная мужской, женской и детской одеждой в специализированных магазинах",Долматов Денис Вадимович · генеральный директор,info@o-stin.ru  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСТИН""","""OSTIN"" LTD.","г. Москва, ул. Профсоюзная, д. 61А",135 464 345,Собственность иностранных юридических лиц,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7728551510,1057747320003,772801001,"Город Москва столица Российской Федерации город федерального значения, Юго-Западный, Черемушки",77522753,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 300 000), муниципальный округ Черемушки",47.71.1,"Торговля розничная мужской, женской и детской одеждой в специализированных магазинах","{'Торговля оптовая одеждой, включая спортивную, кроме нательного белья': '46.42.11'}"
Россети Северо-Запад,7802312751,электроэнергетика,7802312751,7802312751,1.0,1047855175785,7802312751,781001001,74824610,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ СЕВЕРО-ЗАПАД""","МРСК СЕВЕРО-ЗАПАДА, ПАО ","ПАО ""РОССЕТИ СЕВЕРО-ЗАПАД""","ROSSETI NORTH-WEST, PJSC","196247, г. Санкт-Петербург, пл. Конституции, д. 3 литера А пом. 16Н · Пирамида, бизнес-центрНа карте ",+7 (800) 2200220 ,rosseti-sz.ru/   · 29 доменов,Публичные акционерные общества,Передача электроэнергии и технологическое присоединение к распределительным электросетям,Пидник Артем Юрьевич · генеральный директор,abadanin@aseti.ru  ,vk.com/mrsksevzap  ,,,1.0,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ СЕВЕРО-ЗАПАД""","ROSSETI NORTH-WEST, PJSC","г. Санкт-Петербург, пл. Конституции, д. 3 литера А пом. 16Н",9 578 592 314,Совместная частная и иностранная собственность,Публичные акционерные общества,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7802312751,1047855175785,781001001,"Город Санкт-Петербург город федерального значения, Московский",74824610,"Санкт-Петербург, Внутригородские муниципальные образования города федерального значения Санкт-Петербурга (см. также 40 900 000), муниципальный округ Новоизмайловское",35.12,Передача электроэнергии и технологическое присоединение к распределительным электросетям,{'Ремонт электронного и оптического оборудования': '33.13'}
«Невада-Восток» (сеть гипермаркетов «Самбери»),2720030404,розничная торговля,2720030404,2720030404,1.0,1052701036761,2720030404,272001001,77271947,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВАДА-ВОСТОК""",,"ООО ""НЕВАДА-ВОСТОК""",Samberi,"680006, Хабаровский край, г.о. город Хабаровск, г Хабаровск, ул Индустриальная, д. 14, помещ. 26На карте ",+7 (421) 2475676 ·  Открытые данные ,www.samberi.com  ,Общества с ограниченной ответственностью,"Торговля оптовая пищевыми продуктами, напитками и табачными изделиями",Дубик Вадим Геннадьевич · директор,,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВАДА-ВОСТОК""",Samberi,"Хабаровский край, г.о. город Хабаровск, г Хабаровск, ул Индустриальная, д. 14, помещ. 26",33 956,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",2720030404,1052701036761,272001001,"Хабаровский край, Хабаровск, Индустриальный",77271947,"Хабаровский край, Городские округа Хабаровского края, г Хабаровск",46.3,"Торговля оптовая пищевыми продуктами, напитками и табачными изделиями",{'Техническое обслуживание и ремонт автотранспортных средств': '45.20'}
«Санофи Россия»,7705018169,оптовая торговля,7705018169,7705018169,1.0,1027739079940,7705018169,771001001,40056192,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САНОФИ РОССИЯ""","САНОФИ РОССИЯ, ЗАО ","АО ""САНОФИ РОССИЯ""","AO ""SANOFI ROSSIYA""","125375, г. Москва, ул. Тверская, д. 22 · Бизнес-центр «Summit»На карте ",+7 (493) 2233493 ,,Непубличные акционерные общества,Торговля оптовая фармацевтической продукцией,Симакова Анжела Николаевна · генеральный директор,anastasiya.kulkova@sanofi.com  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САНОФИ РОССИЯ""","AO ""SANOFI ROSSIYA""","г. Москва, ул. Тверская, д. 22",5 618 050 000,Собственность иностранных юридических лиц,Непубличные акционерные общества,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7705018169,1027739079940,771001001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Тверской",40056192,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Тверской",46.46.1,Торговля оптовая фармацевтической продукцией,"{'Деятельность агентов, специализирующихся на оптовой торговле фармацевтической продукцией, изделиями, применяемыми в медицинских целях, парфюмерными и косметическими товарами, включая мыло, и чистящими средствами': '46.18.1'}"
«Королёвский трубный завод»,5038114542,черная металлургия,5038114542,5038114542,1.0,1155038004439,5038114542,503801001,73083548,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРОЛЕВСКИЙ ТРУБНЫЙ ЗАВОД""","УПРАВЛЯЮЩАЯ КОМПАНИЯ КТЗ, ЗАО ","ООО ""КОРОЛЕВСКИЙ ТРУБНЫЙ ЗАВОД""","OOO ""KOROLEVSKI TRUBNY ZAVOD""","141281, Московская обл, г.о. Пушкинский, г Ивантеевка, ул Заречная, д. 2, стр. 2, помещ. 50На карте ",+7 (495) 7399474 ,ktzholding.ru   · 1 домен,Общества с ограниченной ответственностью,Торговля оптовая металлами и металлическими рудами,Фокина Илона Юрьевна · генеральный директор,info@ktzholding.ru  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРОЛЕВСКИЙ ТРУБНЫЙ ЗАВОД""","OOO ""KOROLEVSKI TRUBNY ZAVOD""","Московская обл, г.о. Пушкинский, г Ивантеевка, ул Заречная, д. 2, стр. 2, помещ. 50",50 010 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",5038114542,1155038004439,503801001,"Московская область, Пушкино, Ивантеевка",73083548,"Московская область, Городские округа Московской области, Пушкинский, г Ивантеевка",46.72,Торговля оптовая металлами и металлическими рудами,{'Производство профилей с помощью холодной штамповки или гибки': '24.33'}
Трест «Коксохиммонтаж»,7705098679,"инжиниринг, промышленно-инфраструктурное строительство",7705098679,7705098679,1.0,1027700328831,7705098679,770501001,40427814,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРЕСТ КОКСОХИММОНТАЖ""",,"АО ""ТРЕСТ КХМ""",Trust Koksokhimmontazh JSC,"115035, г. Москва, набережная Кадашёвская, д. 36 стр. 5На карте ",+7 (495) 9515490 ,www.kxm.ru   · 1 домен,Непубличные акционерные общества,Работы по сборке и монтажу сборных конструкций,Фуфаев Сергей Валентинович · генеральный директор,shnaypertm@kxm.ru  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРЕСТ КОКСОХИММОНТАЖ""",Trust Koksokhimmontazh JSC,"г. Москва, набережная Кадашёвская, д. 36 стр. 5",11 301 260,Частная собственность,Непубличные акционерные общества,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7705098679,1027700328831,770501001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Замоскворечье",40427814,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Замоскворечье",43.99.7,Работы по сборке и монтажу сборных конструкций,{'Производство изделий из бетона для использования в строительстве': '23.61'}
«Либхерр-Русланд»,7704217309,оптовая торговля,7704217309,7704217309,1.0,1027700454836,7704217309,773001001,55191889,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИБХЕРР-РУСЛАНД""",ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛИБХЕРР-РУСЛАНД,"ООО ""ЛИБХЕРР-РУСЛАНД""","GESELLSCHAFT MIT BESCHRANKTER HAFTUNG ""LIEBHERR-RUSSLAND""","121059, г. Москва, ул. 1-Я Бородинская, д. 5На карте ",+7 (495) 9337211 ,www.liebherr.com   · 2 домена,Общества с ограниченной ответственностью,Торговля оптовая машинами и оборудованием для добычи полезных ископаемых и строительства,Шенк Бернхард Йозеф · генеральный директор,olga.belousova@liebherr.com  ,twitter.com/liebherr  ,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИБХЕРР-РУСЛАНД""","GESELLSCHAFT MIT BESCHRANKTER HAFTUNG ""LIEBHERR-RUSSLAND""","г. Москва, ул. 1-Я Бородинская, д. 5",676 080 662,Собственность иностранных юридических лиц,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7704217309,1027700454836,773001001,"Город Москва столица Российской Федерации город федерального значения, Западный, Дорогомилово",55191889,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Дорогомилово",46.63,Торговля оптовая машинами и оборудованием для добычи полезных ископаемых и строительства,{'Производство машин и оборудования для добычи полезных ископаемых и строительства': '28.92'}
«Талтэк»,4223055709,угольная промышленность,4223055709,4223055709,1.0,1114223007249,4223055709,771701001,85241662,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАЛТЭК""","ТАЛТЭК, ООО ","АО ""ТАЛТЭК""","AO ""TALTEK""","129164, г. Москва, бульвар Ракетный, д. 16 этаж 6 П XXX К 32 офис 605 · Бизнес-центр ""Алексеевская башня""На карте ",+7 (495) 9537444 ,taltek.net  ,Непубличные акционерные общества,Торговля оптовая твердым топливом,Кочеринский Юрий Сергеевич · президент,lmsorokina@ksl.ukascorp.ru  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАЛТЭК""","AO ""TALTEK""","г. Москва, бульвар Ракетный, д. 16 этаж 6 П XXX К 32 офис 605",1 165 000 000,Частная собственность,Непубличные акционерные общества,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",4223055709,1114223007249,771701001,"Город Москва столица Российской Федерации город федерального значения, Северо-Восточный, Алексеевский",85241662,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Алексеевский",46.71.1,Торговля оптовая твердым топливом,"{'Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом': '05.10.13'}"
«Богучанский алюминиевый завод»,2465102746,цветная металлургия,2465102746,2465102746,1.0,1062465070733,2465102746,240701001,95687583,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БОГУЧАНСКИЙ АЛЮМИНИЕВЫЙ ЗАВОД""",,"АО ""БОАЗ""","JSC ""BOAZ""","663467, Красноярский край, м.р-н Богучанский, с.п. Таежнинский сельсовет, п Таежный, тер. Промплощадка, соор. 32На карте ",+7 (391) 6245400 ,boaz-zavod.ru   · 1 домен,Непубличные акционерные общества,Производство алюминия,Картавцев Андрей Васильевич · генеральный директор,zaoboaz@rusal.com  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БОГУЧАНСКИЙ АЛЮМИНИЕВЫЙ ЗАВОД""","JSC ""BOAZ""","Красноярский край, м.р-н Богучанский, с.п. Таежнинский сельсовет, п Таежный, тер. Промплощадка, соор. 32",10 000,Собственность иностранных юридических лиц,Непубличные акционерные общества,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",2465102746,1062465070733,240701001,"Красноярский край, Богучанский район, Таежнинский, п Таежный",95687583,"Красноярский край, Муниципальные районы Красноярского края, Богучанский мун. р-н, Сельские поселения Богучанского муниципального района, Таежнинский с/с, п Таежный",24.42,Производство алюминия,{'Добыча и обогащение алюминийсодержащего сырья (бокситов и нефелин-апатитовых руд)': '07.29.3'}
«Торговый дом «БЕЛАЗ»,7714724594,оптовая торговля,7714724594,7714724594,1.0,1077764636730,7714724594,772701001,84193895,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОРГОВЫЙ ДОМ ""БЕЛАЗ""",,"АО ""ТД ""БЕЛАЗ""","ZAO ""TRADING HOUSE ""BELAZ""","117041, г. Москва, ул. Адмирала Лазарева, д. 68На карте ",+7 (495) 9564140 ,tdbelaz.ru   · 2 домена,Непубличные акционерные общества,Торговля автотранспортными средствами,Лямин Алексей Юрьевич · генеральный директор,i.nesterova@tdbelaz.ru  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОРГОВЫЙ ДОМ ""БЕЛАЗ""","ZAO ""TRADING HOUSE ""BELAZ""","г. Москва, ул. Адмирала Лазарева, д. 68",3 000 000,Совместная частная и иностранная собственность,Непубличные акционерные общества,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7714724594,1077764636730,772701001,"Город Москва столица Российской Федерации город федерального значения, Юго-Западный, Южное Бутово",84193895,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 300 000), муниципальный округ Южное Бутово",45.1,Торговля автотранспортными средствами,{'Техническое обслуживание и ремонт автотранспортных средств': '45.20'}
«А.П.Р.»,7721844807,оптовая торговля,7721844807,7721844807,1.0,5147746038380,7721844807,772101001,68946830,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""А.П.Р.""","А.П.Р., АО","ООО ""А.П.Р.""",A.P.R. LLC,"109428, г. Москва, ул. Зарайская, д. 21 ком. 306 · Деловой дом ""Зарайский""На карте ",+7 (495) 6657476 ,aprltd.ru   · 5 доменов,Общества с ограниченной ответственностью,"Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов",Туленко Екатерина Сергеевна · генеральный директор,vdapr1110@rambler.ru  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""А.П.Р.""",A.P.R. LLC,"г. Москва, ул. Зарайская, д. 21 ком. 306",45 830 000,Совместная частная и иностранная собственность,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7721844807,5147746038380,772101001,"Город Москва столица Российской Федерации город федерального значения, Юго-Восточный, Рязанский",68946830,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Рязанский",45.31.1,"Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов","{'Деятельность агентов по оптовой торговле автомобильными деталями, узлами и принадлежностями': '45.31.2'}"
«Ре Трэйдинг»,7725776121,розничная торговля,7725776121,7725776121,1.0,1127747192540,7725776121,770501001,72020830,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕ ТРЭЙДИНГ""","РЕ ТРЭЙДИНГ, АО","ООО ""РЕ ТРЭЙДИНГ""","OOO ""RE TREIDING""","115114, г. Москва, набережная Шлюзовая, д. 4 · Многофункциональный комплекс «Rosso Riva»На карте ",+7 (499) 6535393 ,re-reserved.ru   · 23 домена,Общества с ограниченной ответственностью,Торговля розничная одеждой в специализированных магазинах,Пилюгина Анна Александровна · генеральный директор,,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕ ТРЭЙДИНГ""","OOO ""RE TREIDING""","г. Москва, набережная Шлюзовая, д. 4",2 000 000 000,Собственность иностранных юридических лиц,Общества с ограниченной ответственностью,"Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства",7725776121,1127747192540,770501001,"Город Москва столица Российской Федерации город федерального значения, Центральный, Замоскворечье",72020830,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Замоскворечье",47.71,Торговля розничная одеждой в специализированных магазинах,{'Торговля оптовая одеждой и обувью': '46.42'}
"«Алмаз», НПО имени академика А.А. Расплетина»",7712040285,машиностроение,7712040285,7712040285,1.0,1027700118984,7712040285,774301001,7501863,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""АЛМАЗ"" ИМЕНИ АКАДЕМИКА А.А.РАСПЛЕТИНА""","ГОЛОВНОЕ СИСТЕМНОЕ КОНСТРУКТОРСКОЕ БЮРО КОНЦЕРНА ПВО АЛМАЗ-АНТЕЙ ИМЕНИ АКАДЕМИКА А.А. РАСПЛЕТИНА, ОАО","ПАО ""НПО ""АЛМАЗ""","PJSC ""ALMAZ R&P Corp.""","125190, г. Москва, проспект Ленинградский, д. 80К16На карте ",+7 (495) 4851522 ,www.raspletin.com   · 4 домена,Публичные акционерные общества,"Производство радиолокационной, радионавигационной аппаратуры и радиоаппаратуры дистанционного управления",Бендерский Геннадий Петрович · генеральный директор,info@raspletin.com  ,,,,1.0,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""АЛМАЗ"" ИМЕНИ АКАДЕМИКА А.А.РАСПЛЕТИНА""","PJSC ""ALMAZ R&P Corp.""","г. Москва, проспект Ленинградский, д. 80К16",1 127 566 100,Иная смешанная российская собственность,Публичные акционерные общества,Приватизированные предприятия,7712040285,1027700118984,774301001,"Город Москва столица Российской Федерации город федерального значения, Северный, Сокол",07501863,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Сокол",26.51.2,"Производство радиолокационной, радионавигационной аппаратуры и радиоаппаратуры дистанционного управления",{'Производство оружия и боеприпасов': '25.40'}
«ГСЛ»,7728795958,сфера развлечений,7728795958,7728795958,1.0,1127746024120,7728795958,772201001,38254000,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГСЛ""","ГОСУДАРСТВЕННЫЕ СПОРТИВНЫЕ ЛОТЕРЕИ, АО ","АО ""ГСЛ""","AO ""GSL""","109316, г. Москва, проспект Волгоградский, д. 43 к. 3 этаж 12 пом. XXVII, ком. 9Н · Авилон Плаза, бизнес-центрНа карте ",+7 (495) 2048686 ,vgl-sport.ru   · 1 домен,Непубличные акционерные общества,Деятельность операторов лотерей,Кондрашов Валентин Михайлович · генеральный директор,fns.box@mail.ru  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГСЛ""","AO ""GSL""","г. Москва, проспект Волгоградский, д. 43 к. 3 этаж 12 пом. XXVII, ком. 9Н",1 200 000,Частная собственность,Непубличные акционерные общества,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7728795958,1127746024120,772201001,"Город Москва столица Российской Федерации город федерального значения, Юго-Восточный, Текстильщики",38254000,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Текстильщики",92.22,Деятельность операторов лотерей,"{'Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки': '64.99'}"
«Ренейссанс Хэви Индастрис»,7802772445,"инжиниринг, промышленно-инфраструктурное строительство",7802772445,7802772445,1.0,1117847539083,7802772445,773101001,30706521,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕНКОНС ХЭВИ ИНДАСТРИС""","РЕНЕЙССАНС ХЭВИ ИНДАСТРИС, ООО","ООО ""РХИ""","OOO ""RKHI""","121108, г. Москва, ул. Ивана Франко, д. 8 этаж 15 пом. I ком. 6 · Бизнес-центр «Kutuzoff Tower»На карте ",+7 (495) 7875920 ,www.rencons.com  ,Общества с ограниченной ответственностью,"Строительство прочих инженерных сооружений, не включенных в другие группировки",Кайтукти Константин Петрович · генеральный директор,olga.gont@rencons.com  ,,,,1.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕНКОНС ХЭВИ ИНДАСТРИС""","OOO ""RKHI""","г. Москва, ул. Ивана Франко, д. 8 этаж 15 пом. I ком. 6",410 000 000,Частная собственность,Общества с ограниченной ответственностью,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",7802772445,1117847539083,773101001,"Город Москва столица Российской Федерации город федерального значения, Западный, Фили-Давыдково",30706521,"Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Фили-Давыдково",42.99,"Строительство прочих инженерных сооружений, не включенных в другие группировки",{'Сбор и обработка сточных вод': '37.00'}
«Чукотская горно-геологическая компания»,8709009294,цветная металлургия,8709009294,8709009294,1.0,1028700587112,8709009294,870901001,58002943,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧУКОТСКАЯ ГОРНО-ГЕОЛОГИЧЕСКАЯ КОМПАНИЯ""","ЧУКОТСКАЯ ГОРНО-ГЕОЛОГИЧЕСКАЯ КОМПАНИЯ, АО","АО ""ЧГГК""",Chukotka Mining and Geological Company JSC,"689000, Чукотский а.о., г. Анадырь, ул. Южная, д. 1/2На карте ",+7 (42737) 42283 ,,Непубличные акционерные общества,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",Свиблов Владислав Владимирович · генеральный директор - директор рудника,magadan.office@kinross.com  ,,,,1.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧУКОТСКАЯ ГОРНО-ГЕОЛОГИЧЕСКАЯ КОМПАНИЯ""",Chukotka Mining and Geological Company JSC,"Чукотский а.о., г. Анадырь, ул. Южная, д. 1/2",1 358 699 768,Частная собственность,Непубличные акционерные общества,"Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно",8709009294,1028700587112,870901001,"Чукотский автономный округ, Анадырь",58002943,"Чукотский автономный округ, Городские округа Чукотского автономного округа, Анадырь",07.29.41,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",{'Добыча и обогащение угля и антрацита': '05.10'}
